


As of:;Nov 07, 2024


Effective date ;S&P 500 (TR)
12/12/2018;5265.53
13/12/2018;5265.46
14/12/2018;5165.6
17/12/2018;5058.58
18/12/2018;5059.34
19/12/2018;4981.92
20/12/2018;4903.46
21/12/2018;4802.51
24/12/2018;4672.66
26/12/2018;4904.49
27/12/2018;4946.94
28/12/2018;4941.61
31/12/2018;4984.22
02/01/2019;4990.56
03/01/2019;4868.3
04/01/2019;5035.45
07/01/2019;5070.76
08/01/2019;5120.04
09/01/2019;5142.66
10/01/2019;5165.89
11/01/2019;5165.15
14/01/2019;5138.58
15/01/2019;5193.78
16/01/2019;5205.45
17/01/2019;5245.48
18/01/2019;5314.78
22/01/2019;5239.75
23/01/2019;5251.29
24/01/2019;5258.69
25/01/2019;5303.51
28/01/2019;5261.88
29/01/2019;5254.31
30/01/2019;5336.6
31/01/2019;5383.63
01/02/2019;5389.19
04/02/2019;5425.8
05/02/2019;5451.4
06/02/2019;5439.8
07/02/2019;5389.69
08/02/2019;5395.12
11/02/2019;5399
12/02/2019;5468.98
13/02/2019;5485.97
14/02/2019;5473.33
15/02/2019;5533.27
19/02/2019;5541.98
20/02/2019;5552.9
21/02/2019;5533.8
22/02/2019;5569.45
25/02/2019;5577.09
26/02/2019;5572.74
27/02/2019;5570.57
28/02/2019;5556.49
01/03/2019;5595.11
04/03/2019;5573.53
05/03/2019;5567.4
06/03/2019;5531.34
07/03/2019;5487.56
08/03/2019;5476.39
11/03/2019;5556.77
12/03/2019;5573.44
13/03/2019;5612.56
14/03/2019;5609.59
15/03/2019;5637.77
18/03/2019;5658.73
19/03/2019;5658.15
20/03/2019;5641.74
21/03/2019;5703.28
22/03/2019;5595.5
25/03/2019;5591.23
26/03/2019;5631.39
27/03/2019;5605.32
28/03/2019;5626.32
29/03/2019;5664.46
01/04/2019;5730.04
02/04/2019;5730.35
03/04/2019;5742.67
04/04/2019;5755.96
05/04/2019;5782.7
08/04/2019;5788.86
09/04/2019;5755.49
10/04/2019;5775.99
11/04/2019;5776.28
12/04/2019;5815.04
15/04/2019;5811.51
16/04/2019;5814.46
17/04/2019;5801.83
18/04/2019;5811.13
22/04/2019;5817.16
23/04/2019;5868.88
24/04/2019;5856.03
25/04/2019;5853.87
26/04/2019;5881.48
29/04/2019;5888.05
30/04/2019;5893.81
01/05/2019;5849.65
02/05/2019;5837.46
03/05/2019;5894.3
06/05/2019;5868.45
07/05/2019;5771.59
08/05/2019;5762.48
09/05/2019;5747.08
10/05/2019;5770.44
13/05/2019;5631.41
14/05/2019;5677.2
15/05/2019;5711.49
16/05/2019;5763.95
17/05/2019;5730.89
20/05/2019;5692.3
21/05/2019;5740.81
22/05/2019;5724.71
23/05/2019;5657.1
24/05/2019;5665.6
28/05/2019;5618.18
